aftermarket_value_ratio,Current_Price,USD_MSRP,price_per_piece,Pieces,Minifigures,age_years,Theme_Group,Availability
5.005005005005005,50.0,9.99,0.2628947368421053,38.0,0,19,Historical,{Not specified}
7.0923,70.923,10.0,0.21739130434782608,46.0,0,19,Constraction,{Not specified}
5.785175175175175,57.7939,9.99,0.21717391304347827,46.0,0,19,Constraction,{Not specified}
4.483833833833834,44.7935,9.99,0.21717391304347827,46.0,0,19,Constraction,{Not specified}
1.4001600640256104,34.99,24.99,24.99,1.0,0,19,Technical,{Not specified}
0.0740296118447379,1.85,24.99,24.99,1.0,0,19,Technical,{Not specified}
0.3712489282652186,12.99,34.99,34.99,1.0,0,19,Technical,{Not specified}
0.24981245311327832,9.99,39.99,39.99,1.0,0,19,Technical,{Not specified}
5.555839537726414,499.97,89.99,0.09325388601036269,965.0,7,19,Model making,LEGO exclusive
7.125890736342043,570.0,79.99,0.07489700374531835,1068.0,0,19,Licensed,LEGO exclusive
9.79097909790979,979.0,99.99,0.08249999999999999,1212.0,0,19,Licensed,LEGO exclusive
4.990499049904991,499.0,99.99,0.1150632911392405,869.0,12,19,Historical,LEGO exclusive
7.938492311538943,635.0,79.99,0.06682539682539682,1197.0,0,19,Model making,LEGO exclusive
2.3807615230460923,11.88,4.99,0.07338235294117647,68.0,0,18,Model making,Retail
5.316132264529058,26.5275,4.99,0.06480519480519481,77.0,0,18,Model making,Retail
1.793587174348697,8.95,4.99,0.06565789473684211,76.0,0,18,Model making,Retail
7.357859531772575,22.0,2.99,0.16611111111111113,18.0,2,18,Modern day,Retail - limited
3.4688255465066438,242.7831,69.99,0.05961669505962521,1174.0,0,18,Model making,Retail
5.0,150.0,30.0,0.05454545454545454,550.0,0,18,Model making,Retail
2.5003000600120022,124.99,49.99,0.06838577291381669,731.0,0,18,Model making,Retail
2.8575510787255323,200.0,69.99,0.06584195672624647,1063.0,0,18,Model making,Retail
3.000400080016003,149.99,49.99,0.12720101781170484,393.0,3,18,Licensed,Retail
5.7151021574510645,400.0,69.99,0.11144904458598726,628.0,7,18,Historical,{Not specified}
4.252525420903484,255.109,59.99,0.1043304347826087,575.0,7,18,Historical,{Not specified}
6.676126878130217,39.99,5.99,0.11092592592592593,54.0,3,18,Historical,{Not specified}
6.005005005005005,59.99,9.99,0.08121951219512195,123.0,4,18,Historical,{Not specified}
6.27125425085017,313.5,49.99,0.12560301507537688,398.0,5,18,Historical,{Not specified}
3.333888981496916,200.0,59.99,0.35922155688622753,167.0,3,18,Girls,{Not specified}
7.5025025025025025,74.95,9.99,0.09794117647058824,102.0,7,18,Licensed,{Not specified}
9.50950950950951,95.0,9.99,0.17224137931034483,58.0,4,18,Licensed,{Not specified}
2.9877238619309656,59.7246,19.99,0.08616379310344827,232.0,1,18,Licensed,{Not specified}
1.851947986996749,74.0594,39.99,0.08808370044052864,454.0,2,18,Licensed,{Not specified}
2.158283656731346,107.8926,49.99,0.10613588110403398,471.0,5,18,Licensed,{Not specified}
3.6678892964321443,110.0,29.99,0.10710714285714285,280.0,3,18,Licensed,{Not specified}
6.60132026405281,330.0,49.99,0.08693913043478262,575.0,2,18,Licensed,{Not specified}
8.07048304830483,806.9676,99.99,0.07518045112781954,1330.0,21,18,Licensed,{Not specified}
3.0010003334444817,90.0,29.99,0.09674193548387096,310.0,1,18,Licensed,{Not specified}
3.780756151230246,189.0,49.99,0.09122262773722628,548.0,2,18,Licensed,Retail
3.6502444716079565,328.4855,89.99,0.09792165397170838,919.0,5,18,Licensed,{Not specified}
2.600520104020804,130.0,49.99,0.09122262773722628,548.0,8,18,Licensed,{Not specified}
2.200144460495611,197.991,89.99,0.1184078947368421,760.0,8,18,Action/Adventure,Retail
3.6007201440288057,180.0,49.99,0.11518433179723503,434.0,7,18,Action/Adventure,Retail
3.792198049512378,151.65,39.99,0.09193103448275862,435.0,6,18,Action/Adventure,Retail
4.407153576788395,88.099,19.99,0.08126016260162601,246.0,3,18,Action/Adventure,Retail
5.218597194388778,26.0408,4.99,0.08754385964912281,57.0,2,18,Action/Adventure,Retail
2.8128516064508067,225.0,79.99,0.12596850393700787,635.0,5,18,Action/Adventure,Retail
7.482993197278912,187.0,24.99,0.09359550561797753,267.0,1,18,Action/Adventure,{Not specified}
2.3532032032032033,23.5085,9.99,0.07684615384615384,130.0,2,18,Action/Adventure,Retail
4.409599839935974,110.1959,24.99,0.10369294605809128,241.0,3,18,Action/Adventure,Retail - limited
12.837612537512506,385.0,29.99,0.10235494880546074,293.0,2,18,Licensed,Retail
2.0050125313283207,8.0,3.99,0.09068181818181818,44.0,0,18,Model making,Unknown
0.6002400960384154,15.0,24.99,0.1077155172413793,232.0,8,18,Modern day,Retail - limited
2.2344944944944944,22.3226,9.99,0.07625954198473282,131.0,1,18,Modern day,Retail
3.2361320440146715,97.0516,29.99,0.10945255474452555,274.0,3,18,Modern day,Retail
2.2185147524587427,133.0887,59.99,0.09998333333333334,600.0,4,18,Modern day,Retail
6.670446964643095,99.99,14.99,0.07037558685446009,213.0,1,18,Modern day,Retail
2.5512756378189096,51.0,19.99,0.09169724770642201,218.0,1,18,Modern day,Retail
2.3005751437859465,92.0,39.99,0.09947761194029851,402.0,3,18,Modern day,Retail
4.433825980664518,399.0,89.99,0.1365553869499241,659.0,5,18,Modern day,Retail
7.521664665866346,187.9664,24.99,6.2475,4.0,0,18,Modern day,Retail
4.1120248944209825,185.0,44.99,0.11625322997416021,387.0,5,18,Modern day,Retail
5.006257822277847,40.0,7.99,0.08070707070707071,99.0,1,18,Action/Adventure,{Not specified}
5.870580386924616,88.0,14.99,0.09253086419753087,162.0,1,18,Action/Adventure,{Not specified}
3.669112741827885,55.0,14.99,0.10409722222222223,144.0,1,18,Action/Adventure,{Not specified}
5.00166722240747,150.0,29.99,0.09612179487179487,312.0,1,18,Action/Adventure,{Not specified}
3.5007001400280053,175.0,49.99,0.08754816112084063,571.0,2,18,Action/Adventure,{Not specified}
3.4892765862873656,314.0,89.99,0.08918731417244796,1009.0,13,18,Action/Adventure,{Not specified}
4.46693386773547,22.29,4.99,0.11340909090909092,44.0,0,18,Racing,Retail
2.158356713426854,10.7702,4.99,0.09784313725490197,51.0,0,18,Racing,Retail
4.008016032064128,20.0,4.99,0.12170731707317074,41.0,0,18,Racing,Retail
4.008016032064128,20.0,4.99,0.09784313725490197,51.0,0,18,Racing,Retail
2.251125562781391,45.0,19.99,0.07543396226415094,265.0,0,18,Racing,Retail
3.739695939187837,186.9474,49.99,0.07244927536231885,690.0,0,18,Racing,Retail
1.5003000600120024,75.0,49.99,0.08359531772575252,598.0,0,18,Racing,Retail
2.600520104020804,130.0,49.99,0.06280150753768844,796.0,0,18,Racing,Retail
2.2404201400466826,67.1902,29.99,0.09060422960725074,331.0,0,18,Technical,Retail
13.013013013013012,130.0,9.99,0.15609375,64.0,0,18,Constraction,{Not specified}
17.51751751751752,175.0,9.99,0.14691176470588235,68.0,0,18,Constraction,{Not specified}
17.51751751751752,175.0,9.99,0.16932203389830508,59.0,0,18,Constraction,{Not specified}
12.512512512512512,125.0,9.99,0.16932203389830508,59.0,0,18,Constraction,{Not specified}
7.5075075075075075,75.0,9.99,0.15857142857142859,63.0,0,18,Constraction,{Not specified}
8.008008008008009,80.0,9.99,0.1998,50.0,0,18,Constraction,{Not specified}
6.352092092092092,63.4574,9.99,0.17224137931034483,58.0,0,18,Constraction,{Not specified}
20.02002002002002,200.0,9.99,0.185,54.0,0,18,Constraction,{Not specified}
8.008008008008009,80.0,9.99,0.21255319148936172,47.0,0,18,Constraction,{Not specified}
8.750970485242622,174.9319,19.99,0.11357954545454545,176.0,0,18,Constraction,{Not specified}
15.007503751875939,300.0,19.99,0.12115151515151515,165.0,0,18,Constraction,{Not specified}
16.50550183394465,495.0,29.99,0.1171484375,256.0,0,18,Constraction,{Not specified}
4.001333777925976,120.0,29.99,0.13153508771929823,228.0,4,18,Constraction,{Not specified}
3.0718674096299474,215.0,69.99,0.1038427299703264,674.0,10,18,Constraction,{Not specified}
5.01002004008016,25.0,4.99,0.13486486486486488,37.0,0,18,Constraction,{Not specified}
8.016032064128256,40.0,4.99,0.13486486486486488,37.0,0,18,Constraction,{Not specified}
7.012024048096192,34.99,4.99,0.12475,40.0,0,18,Constraction,{Not specified}
7.5376884422110555,15.0,1.99,0.2842857142857143,7.0,0,18,Constraction,{Not specified}
11.674449633088726,175.0,14.99,0.1292241379310345,116.0,0,18,Constraction,{Not specified}
10.004502251125563,199.99,19.99,0.13416107382550335,149.0,0,18,Constraction,{Not specified}
0.9334308577144286,37.3279,39.99,0.11108333333333334,360.0,0,18,Educational,{Not specified}
4.538810677744442,590.0,129.99,0.11432717678100264,1137.0,4,18,Licensed,LEGO exclusive
3.2919384387687756,1645.9363,499.99,0.09620742736193959,5197.0,5,18,Licensed,LEGO exclusive
13.215229659261375,1850.0,139.99,0.06808852140077822,2056.0,3,18,Model making,LEGO exclusive
34.44816090676742,3099.99,89.99,0.0721073717948718,1248.0,3,18,Model making,LEGO exclusive
0.6999399879975995,34.99,49.99,49.99,1.0,0,18,Technical,{Not specified}
10.004502251125563,199.99,19.99,0.09519047619047619,210.0,3,17,Licensed,Retail
6.668556185395133,199.99,29.99,0.10749103942652329,279.0,3,17,Licensed,Retail
